Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F1000,Apple,193.5246582,Flood,7.561064512,2.421985049,26.97465716,Peaty,Zaid,60693.18861
F1001,Apple,475.8500101,Manual,7.94143312,4.181066447,47.63750952,Peaty,Kharif,77041.82947
F1002,Apple,368.6770315,Manual,1.666401866,4.373287625,35.46941385,Peaty,Kharif,52970.68672
F1003,Apple,303.3426573,Rain-fed,4.226191557,0.531284587,57.46919955,Peaty,Zaid,40852.91317
F1004,Apple,86.44913382,Manual,2.042821536,2.798362862,25.50083777,Loamy,Kharif,98728.86218
F1005,Apple,86.43731496,Manual,8.767930833,2.378349514,33.64265404,Silty,Zaid,88725.34514
F1006,Apple,38.46096996,Manual,6.609683141,1.499485147,24.53894085,Peaty,Rabi,90228.32328
F1007,Apple,434.4263114,Rain-fed,3.978082224,1.039394153,56.98774473,Clay,Kharif,47517.59524
F1008,Apple,304.5463558,Manual,1.572025153,2.019268271,55.09357414,Silty,Rabi,32718.43141
F1009,Apple,356.9555631,Flood,3.798840895,4.743093668,30.31766511,Silty,Zaid,51228.58603
F1010,Apple,20.0864022,Rain-fed,3.926649898,1.954413194,46.39936184,Peaty,Rabi,67595.7699
F1011,Apple,485.2558276,Flood,7.566455605,2.834557798,52.68888801,Loamy,Rabi,52865.58693
F1012,Apple,417.896894,Rain-fed,6.738017242,3.663585315,42.20803246,Peaty,Zaid,87950.83027
F1013,Apple,114.0461642,Manual,8.984914683,2.136333211,41.18602313,Loamy,Rabi,49008.00411
F1014,Apple,99.09423393,Flood,5.249934326,4.873019372,29.67409164,Clay,Rabi,97567.62813
F1015,Apple,99.86820983,Rain-fed,2.076348213,4.831012827,23.72411071,Silty,Zaid,62008.56131
F1016,Apple,159.0786991,Sprinkler,7.419203085,1.633020331,55.88863032,Clay,Rabi,88941.61525
F1017,Apple,267.1306515,Manual,7.847065438,2.737618277,56.01672229,Loamy,Zaid,43606.60238
F1018,Apple,221.6530591,Rain-fed,6.051494778,1.853952394,45.32405829,Loamy,Rabi,58794.77335
F1019,Apple,152.7022787,Sprinkler,7.93870462,1.781782225,33.56119164,Clay,Zaid,78965.85475
F1020,Apple,309.8079184,Rain-fed,5.444160367,0.665991263,33.96838298,Loamy,Zaid,39684.71647
F1021,Apple,78.35199172,Sprinkler,5.704595464,3.243039503,49.03822715,Clay,Rabi,39292.17956
F1022,Apple,153.1508778,Manual,4.847869165,2.762055605,55.8844104,Silty,Rabi,97867.5807
F1023,Apple,189.5173032,Flood,1.228772141,0.731654381,55.48345697,Clay,Rabi,80021.65729
F1024,Apple,233.4742923,Sprinkler,1.971022843,1.753909089,51.19502183,Silty,Kharif,32874.72617
F1025,Apple,394.7362211,Rain-fed,1.282862671,4.587196487,45.68126585,Clay,Kharif,57917.4631
F1026,Apple,107.8401533,Manual,6.727693701,1.578028508,23.3655986,Loamy,Kharif,60346.45163
F1027,Apple,261.9748748,Sprinkler,3.82920383,1.152026924,26.46514856,Clay,Zaid,82082.98501
F1028,Apple,300.2831387,Rain-fed,5.57713622,2.702537421,55.94216754,Loamy,Rabi,47560.23691
F1029,Apple,32.76070223,Rain-fed,9.168098265,4.935427043,44.25716239,Clay,Zaid,42903.3572
F1030,Apple,307.6969774,Rain-fed,3.243630062,1.589248722,20.36788206,Clay,Kharif,35661.10766
F1031,Apple,93.55682061,Sprinkler,4.693446307,3.524609963,24.05886171,Peaty,Rabi,59982.01325
F1032,Apple,41.87528056,Sprinkler,7.799960247,3.927288269,46.54007076,Loamy,Zaid,78194.99305
F1033,Apple,474.9539133,Sprinkler,3.059183489,1.569368948,20.20246335,Peaty,Rabi,34073.55169
F1034,Apple,483.1596962,Flood,1.692819188,3.776973569,26.43232206,Loamy,Zaid,94064.96093
F1035,Apple,406.1147006,Sprinkler,3.607763076,2.155024097,41.94935157,Peaty,Rabi,60964.65608
F1036,Apple,159.2607469,Sprinkler,2.450991585,3.345376238,47.67580791,Silty,Kharif,46785.11514
F1037,Apple,57.85933586,Sprinkler,9.367278871,3.350883698,46.07845038,Clay,Kharif,36571.13031
F1038,Apple,345.274183,Flood,8.273083416,2.910986078,28.97077238,Loamy,Rabi,42800.6198
F1039,Apple,225.6747219,Sprinkler,6.700633809,0.906303965,48.48716885,Loamy,Zaid,95422.97981
F1040,Apple,69.79873507,Rain-fed,8.843145312,4.25886123,29.4899635,Clay,Kharif,74678.94157
F1041,Apple,252.636686,Sprinkler,8.233048692,1.943510292,33.01598793,Loamy,Kharif,66168.73802
F1042,Apple,26.85037535,Rain-fed,2.67913053,1.339333297,49.8596562,Loamy,Kharif,75997.793
F1043,Apple,455.566997,Rain-fed,9.033030986,0.683488137,45.98531596,Peaty,Rabi,60497.10291
F1044,Apple,136.802191,Rain-fed,5.854080177,3.159018244,53.96893642,Loamy,Rabi,81102.75216
F1045,Apple,334.6359193,Flood,8.266961396,3.549039628,46.30451569,Silty,Zaid,33340.12894
F1046,Apple,162.7384273,Flood,9.064821699,0.57464523,42.73234413,Silty,Zaid,69622.60473
F1047,Apple,264.8333304,Flood,3.862031275,2.804418762,23.74699071,Clay,Zaid,41105.25133
F1048,Apple,277.8880369,Sprinkler,1.990467321,1.519230988,34.70863212,Loamy,Rabi,38411.52535
F1049,Apple,100.5786832,Rain-fed,3.051416463,3.403277557,30.60809471,Clay,Rabi,53931.57667
F1000,Banana,54.98154225,Rain-fed,8.624288297,3.834382374,36.66556231,Loamy,Rabi,94461.06804
F1001,Banana,56.13692425,Rain-fed,4.194146714,3.952376839,43.24650485,Loamy,Zaid,34275.45719
F1002,Banana,162.5925216,Sprinkler,9.611207966,4.202556583,56.76706207,Peaty,Zaid,49381.43537
F1003,Banana,489.960159,Sprinkler,7.09092914,3.848952456,23.3099368,Peaty,Zaid,86434.08959
F1004,Banana,95.91183225,Sprinkler,5.342688547,3.564677422,55.06645944,Silty,Zaid,82378.17833
F1005,Banana,18.4089399,Sprinkler,5.43723092,1.568779121,42.0635149,Silty,Zaid,42916.47135
F1006,Banana,384.0485673,Rain-fed,1.749559701,2.301003018,26.59337045,Silty,Kharif,44654.45263
F1007,Banana,405.3873588,Manual,1.825337325,2.649717009,36.45020466,Peaty,Zaid,55933.0472
F1008,Banana,179.6891173,Sprinkler,6.421968333,0.873010948,51.10409135,Clay,Zaid,63916.60896
F1009,Banana,237.6901683,Sprinkler,5.983327471,2.877665546,39.21480327,Clay,Zaid,73277.83401
F1010,Banana,328.3891045,Rain-fed,2.914551055,2.463511242,59.41144203,Peaty,Zaid,55823.95477
F1011,Banana,33.54887286,Rain-fed,9.515750886,4.109491621,35.0695588,Peaty,Rabi,62377.43013
F1012,Banana,475.0814085,Flood,8.031664454,4.900553009,49.983132,Peaty,Kharif,82322.96567
F1013,Banana,444.4733898,Sprinkler,2.021181418,3.002022674,35.71957796,Peaty,Zaid,32567.8242
F1014,Banana,137.8378754,Flood,9.378361951,1.952088747,53.16656883,Peaty,Zaid,47670.5861
F1015,Banana,17.49922474,Rain-fed,9.768233877,0.695303525,42.76325877,Peaty,Zaid,79934.47101
F1016,Banana,467.383791,Rain-fed,9.963381178,4.660894986,22.54047318,Silty,Kharif,92664.47864
F1017,Banana,255.5095431,Manual,1.502840392,4.636020719,21.47287471,Silty,Rabi,65817.42095
F1018,Banana,274.2949497,Sprinkler,7.633320011,1.638455756,25.35408475,Silty,Kharif,67247.94397
F1019,Banana,345.142247,Flood,5.913241931,3.629350054,20.54687859,Silty,Rabi,37502.04079
F1020,Banana,311.7670706,Rain-fed,7.352483355,0.839455462,23.01436241,Peaty,Zaid,61318.86568
F1021,Banana,472.5068862,Rain-fed,9.717867496,1.247969444,47.66857589,Clay,Zaid,67283.20865
F1022,Banana,472.6832826,Flood,7.192270092,1.47564098,41.373851,Loamy,Kharif,46972.93525
F1023,Banana,434.9274774,Manual,8.532674868,1.825222761,49.99642998,Peaty,Kharif,48847.02617
F1024,Banana,321.8377627,Rain-fed,8.801818348,4.981241188,56.52663009,Loamy,Rabi,56409.89142
F1025,Banana,402.4651544,Sprinkler,8.546326874,3.636162751,43.40598129,Clay,Rabi,31404.98384
F1026,Banana,341.8124878,Rain-fed,4.834823275,2.228908241,49.04483376,Silty,Kharif,52545.54159
F1027,Banana,290.9498504,Sprinkler,3.003187758,3.816953176,50.28324808,Clay,Rabi,44801.36049
F1028,Banana,72.96517308,Flood,4.569864418,4.618644538,35.11402197,Peaty,Kharif,52924.81465
F1029,Banana,407.4900466,Sprinkler,9.027072179,4.814160833,29.64339329,Silty,Rabi,38383.34923
F1030,Banana,412.1133431,Flood,2.319443395,0.76038754,28.20181314,Peaty,Kharif,92336.90965
F1031,Banana,316.7104383,Sprinkler,5.619935518,2.275348094,30.05769758,Silty,Kharif,71551.47175
F1032,Banana,412.0091534,Flood,3.099052652,0.980402297,30.98927188,Loamy,Kharif,77537.16234
F1033,Banana,329.2275382,Sprinkler,6.231748755,2.010470292,28.28910596,Loamy,Rabi,85241.9867
F1034,Banana,111.2753363,Manual,8.768246698,1.263559568,55.1288267,Loamy,Rabi,64890.95393
F1035,Banana,144.2409524,Sprinkler,8.923239718,3.410817628,50.27996529,Clay,Rabi,36084.42017
F1036,Banana,115.1486687,Sprinkler,3.130166743,2.247207728,21.87585871,Peaty,Kharif,67597.45793
F1037,Banana,194.8569508,Manual,9.169243357,1.532276356,30.74689928,Clay,Rabi,71078.87826
F1038,Banana,29.09193483,Rain-fed,6.326998649,1.696720662,20.88738968,Loamy,Rabi,82180.76319
F1039,Banana,312.9444033,Rain-fed,4.15196422,2.121552928,39.92660747,Peaty,Kharif,60216.16824
F1040,Banana,174.9115653,Sprinkler,7.37363076,1.669774383,39.04842787,Loamy,Zaid,38930.6212
F1041,Banana,331.3040913,Manual,5.335002892,2.539583811,53.2548596,Clay,Kharif,49864.31341
F1042,Banana,198.8443443,Sprinkler,4.401888311,0.64542178,32.31108959,Clay,Rabi,55415.76075
F1043,Banana,343.9906978,Flood,7.345759279,1.758935782,52.65542941,Clay,Kharif,75214.20689
F1044,Banana,176.906039,Flood,3.23851739,2.350430244,58.71895062,Loamy,Zaid,69954.48133
F1045,Banana,137.7403188,Sprinkler,3.972272761,3.212518469,23.53632893,Peaty,Kharif,54926.77081
F1046,Banana,253.0583526,Rain-fed,4.9100666,1.719309391,51.67271358,Peaty,Rabi,99056.06742
F1047,Banana,349.5162758,Rain-fed,3.283139565,1.099333064,43.59823589,Loamy,Zaid,72404.23735
F1048,Banana,180.6849362,Sprinkler,4.646818781,0.842901708,39.20183868,Peaty,Rabi,46605.87542
F1049,Banana,468.9575944,Sprinkler,6.143257227,4.732393222,36.82143115,Loamy,Zaid,37124.77308
F016,Barley,60.22,Flood,2.19,0.35,16.03,Sandy,Zaid,25132.48
F020,Barley,58.85,Sprinkler,3.61,3.32,18.85,Sandy,Kharif,92481.89
F025,Barley,75.64,Flood,6.69,3.57,6.14,Silty,Zaid,43847.82
F031,Barley,136.16,Flood,5.89,1.36,11.86,Clay,Zaid,30098.35
F033,Barley,446.76,Drip,7.79,0.96,46.47,Loamy,Zaid,93656.06
F038,Barley,431.22,Drip,5.71,3.18,45.95,Silty,Kharif,36065.94
F049,Barley,462.37,Sprinkler,2.3,0.14,39.51,Clay,Kharif,53879.87
F1000,Barley,84.9009782,Sprinkler,8.42619409,3.217810424,29.09582484,Silty,Zaid,55414.14485
F1001,Barley,130.5192869,Flood,2.677644881,2.760297564,44.31577575,Peaty,Zaid,32395.96776
F1002,Barley,88.7338729,Sprinkler,3.121225715,2.929372867,35.17222794,Loamy,Zaid,88145.81546
F1003,Barley,101.4178418,Sprinkler,6.703827073,2.688608669,49.76998607,Peaty,Kharif,54163.45014
F1004,Barley,149.6966327,Sprinkler,9.170795174,2.340298297,28.22319234,Silty,Rabi,84168.41662
F1005,Barley,94.95306169,Sprinkler,3.845769241,3.973468913,51.51159555,Silty,Kharif,55393.05263
F1006,Barley,449.4150581,Flood,6.294760082,0.554913825,44.14886127,Peaty,Zaid,90274.7614
F1007,Barley,49.31453537,Flood,7.146838571,3.192992155,24.570692,Peaty,Kharif,45365.73676
F1008,Barley,267.0105809,Rain-fed,5.067537412,3.044787563,36.58018337,Peaty,Zaid,98218.30856
F1009,Barley,211.0944452,Manual,7.424042094,3.722805836,54.54072562,Clay,Zaid,84583.11424
F1010,Barley,491.3655223,Flood,9.097007008,3.195632141,56.91840927,Loamy,Kharif,37996.65481
F1011,Barley,64.89906206,Flood,6.616913898,4.220594725,38.62800489,Peaty,Zaid,69604.3634
F1012,Barley,204.9492435,Manual,5.858029557,4.815836576,39.23347912,Peaty,Rabi,98975.71186
F1013,Barley,485.0405123,Flood,4.948702078,2.041359157,56.738189,Peaty,Zaid,62974.58169
F1014,Barley,434.0984917,Sprinkler,6.197376438,1.523079424,43.48272897,Silty,Rabi,42747.49972
F1015,Barley,410.3653148,Sprinkler,4.198262066,2.406185881,21.31386681,Silty,Rabi,63934.4857
F1016,Barley,136.3723853,Manual,4.523338992,1.795683274,56.50997852,Clay,Zaid,65872.03591
F1017,Barley,93.73491782,Rain-fed,5.786717317,3.267276184,29.92905771,Loamy,Kharif,81918.0861
F1018,Barley,337.6351778,Rain-fed,1.599572012,4.60333584,43.10527816,Clay,Rabi,78919.20972
F1019,Barley,465.3942347,Manual,3.061228518,1.126022874,26.6205327,Loamy,Kharif,58178.50305
F1020,Barley,282.8138176,Manual,5.885643796,0.953575714,21.35516641,Silty,Rabi,45261.61752
F1021,Barley,290.0902178,Sprinkler,4.883753288,1.652069893,32.45892685,Silty,Zaid,75153.79174
F1022,Barley,147.1897559,Rain-fed,3.995342073,3.767430137,51.2198283,Silty,Zaid,59519.27542
F1023,Barley,387.0515373,Flood,7.574942231,3.168333074,31.10348691,Clay,Rabi,39259.33478
F1024,Barley,101.6514368,Sprinkler,7.243458467,0.959956989,28.80388856,Peaty,Zaid,93040.06109
F1025,Barley,168.6028258,Manual,2.50057684,4.63437735,28.50723137,Peaty,Rabi,78385.53003
F1026,Barley,218.4638549,Rain-fed,8.907662038,4.055380867,40.6069473,Silty,Zaid,77822.86995
F1027,Barley,258.7290856,Flood,5.458812638,0.603601722,59.02165263,Peaty,Kharif,87580.87131
F1028,Barley,128.7807689,Flood,7.6731482,3.431152449,38.35955952,Peaty,Zaid,67076.31751
F1029,Barley,66.27004412,Sprinkler,6.158357643,3.970610008,42.29221476,Clay,Kharif,87053.80999
